Application Number,CSI Project Tilt
PGE-CSI-38972,20
PGE-CSI-58921,20
PGE-CSI-29872,24
PGE-CSI-47788,18
PGE-CSI-38601,19
PGE-CSI-60505,28
PGE-CSI-38473,18
PGE-CSI-52942,19
PGE-CSI-50692,22
PGE-CSI-38186,30
PGE-CSI-41121,34
PGE-CSI-37914,25
PGE-CSI-54583,18
PGE-CSI-37717,19
PGE-CSI-67181,22
PGE-CSI-37304,21
PGE-CSI-58420,25
PGE-CSI-36187,26
PGE-CSI-62045,23
A-1735,30
PGE-CSI-48916,25
PGE-CSI-10316,30
PGE-CSI-63167,20
PGE-CSI-30630,20
PGE-CSI-55157,23
PGE-CSI-30868,20
PGE-CSI-64199,25
PGE-CSI-30999,10
PGE-CSI-63471,25
PGE-CSI-38099,27
PGE-CSI-66173,23
PGE-CSI-58440,27
PGE-CSI-31229,18
PGE-CSI-41781,25
PGE-CSI-32573,22
PGE-CSI-44963,18
PGE-CSI-61216,25
PGE-CSI-36986,9
PGE-CSI-53986,18
PGE-CSI-32301,15
PGE-CSI-64035,7
PGE-CSI-32364,30
PGE-CSI-68651,30
PGE-CSI-32409,30
PGE-CSI-53261,27
PGE-CSI-32635,24
PGE-CSI-41387,22
PGE-CSI-11478,19
PGE-CSI-48548,30
PGE-CSI-00609,15
PGE-CSI-59685,19
PGE-CSI-11642,20
PGE-CSI-63341,18
PGE-CSI-00689,22
PGE-CSI-62068,18
PGE-CSI-33711,18
PGE-CSI-60220,22
PGE-CSI-11937,22
PGE-CSI-64904,19
PGE-CSI-42668,26
PGE-CSI-62892,20
PGE-CSI-12144,19
PGE-CSI-34299,36
PGE-CSI-54313,22
PGE-CSI-34696,25
PGE-CSI-64907,18
PGE-CSI-12686,20
PGE-CSI-65607,30
PGE-CSI-47429,17
PGE-CSI-01186,18
PGE-CSI-35636,21
PGE-CSI-55234,27
PGE-CSI-13085,5
PGE-CSI-47585,30
PGE-CSI-13098,24
PGE-CSI-55454,18
PGE-CSI-13147,19
PGE-CSI-54651,30
PGE-CSI-10089,20
PGE-CSI-41681,16
PGE-CSI-13194,20
PGE-CSI-55299,24
PGE-CSI-13269,22
PGE-CSI-61860,19
PGE-CSI-22861,22
PGE-CSI-69456,30
PGE-CSI-67366,18
PGE-CSI-02690,18
PGE-CSI-61092,28
PGE-CSI-70272,22
PGE-CSI-54330,30
PGE-CSI-70379,20
PGE-CSI-51539,27
PGE-CSI-16494,21
PGE-CSI-51185,23
PGE-CSI-03053,30
PGE-CSI-65732,19
PGE-CSI-03295,20
PGE-CSI-38846,13
PGE-CSI-59833,18
PGE-CSI-17590,30
PGE-CSI-40906,21
PGE-CSI-17616,3
PGE-CSI-52619,27
PGE-CSI-03869,30
PGE-CSI-44695,18
PGE-CSI-18240,18
PGE-CSI-64577,15
PGE-CSI-68118,27
PGE-CSI-39506,20
PGE-CSI-63909,19
PGE-CSI-39505,8
PGE-CSI-50642,21
PGE-CSI-37811,30
PGE-CSI-61700,20
PGE-CSI-19380,19
PGE-CSI-52136,19
PGE-CSI-19601,9
PGE-CSI-46330,21
PGE-CSI-04741,20
PGE-CSI-65161,19
PGE-CSI-04809,45
PGE-CSI-54169,27
PGE-CSI-04861,16
PGE-CSI-20261,19
PGE-CSI-20293,18
PGE-CSI-20426,18
PGE-CSI-20657,30
PGE-CSI-05208,20
PGE-CSI-20691,22
PGE-CSI-20833,30
PGE-CSI-21152,19
PGE-CSI-21244,26
PGE-CSI-21362,25
PGE-CSI-37495,18
PGE-CSI-21521,25
PGE-CSI-21678,19
PGE-CSI-21685,10
PGE-CSI-22716,18
PGE-CSI-39509,5
PGE-CSI-22721,26
PGE-CSI-23062,18
PGE-CSI-39507,20
PGE-CSI-23168,19
PGE-CSI-23312,26
PGE-CSI-39510,5
PGE-CSI-23543,18
PGE-CSI-23655,15
PGE-CSI-37041,19
PGE-CSI-23839,15
PGE-CSI-23840,19
PGE-CSI-23948,27
PGE-CSI-24180,14
PGE-CSI-07071,16
PGE-CSI-24374,26
PGE-CSI-24418,19
PGE-CSI-42549,22
PGE-CSI-70527,15
PGE-CSI-53753,35
PGE-CSI-25981,22
PGE-CSI-65185,20
PGE-CSI-26053,22
PGE-CSI-26061,15
PGE-CSI-55989,19
PGE-CSI-26404,9
PGE-CSI-08177,28
PGE-CSI-62194,23
PGE-CSI-36296,19
PGE-CSI-61588,23
PGE-CSI-08367,19
PGE-CSI-50708,5
PGE-CSI-27565,21
PGE-CSI-52854,27
PGE-CSI-27640,3
PGE-CSI-62747,30
PGE-CSI-27853,23
PGE-CSI-60007,30
PGE-CSI-27893,19
PGE-CSI-51546,22
PGE-CSI-09110,4
PGE-CSI-48959,22
PGE-CSI-28815,19
PGE-CSI-50203,18
PGE-CSI-28902,22
PGE-CSI-48531,19
PGE-CSI-09531,22
PGE-CSI-45608,22
PGE-CSI-09540,18
PGE-CSI-54542,23
PGE-CSI-29349,30
PGE-CSI-48529,25
PGE-CSI-29383,18
PGE-CSI-53362,17
PGE-CSI-29793,18
PGE-CSI-43054,18
PGE-CSI-38957,20
PGE-CSI-53624,18
PGE-CSI-62564,18
PGE-CSI-38219,25
PGE-CSI-56248,27
PGE-CSI-10225,18
PGE-CSI-66534,23
PGE-CSI-30665,23
PGE-CSI-56251,20
PGE-CSI-30885,20
PGE-CSI-47687,20
PGE-CSI-47796,23
PGE-CSI-32201,19
PGE-CSI-54258,25
PGE-CSI-11205,26
PGE-CSI-47416,22
PGE-CSI-53739,22
PGE-CSI-38467,21
PGE-CSI-58444,23
PGE-CSI-43495,18
PGE-CSI-11555,22
PGE-CSI-70224,10
PGE-CSI-33107,19
PGE-CSI-67312,45
PGE-CSI-33307,18
PGE-CSI-57088,24
PGE-CSI-33328,23
PGE-CSI-54488,27
PGE-CSI-33884,5
PGE-CSI-60575,30
PGE-CSI-33900,24
PGE-CSI-55735,18
PGE-CSI-34054,30
PGE-CSI-54255,29
PGE-CSI-34916,19
PGE-CSI-43537,18
PGE-CSI-12609,22
PGE-CSI-62102,25
PGE-CSI-01139,8
PGE-CSI-38521,16
PGE-CSI-65332,30
PGE-CSI-35301,19
PGE-CSI-65688,14
PGE-CSI-12827,30
PGE-CSI-46665,3
PGE-CSI-01474,19
PGE-CSI-52897,24
PGE-CSI-13358,23
PGE-CSI-47719,20
PGE-CSI-13749,19
PGE-CSI-67410,30
PGE-CSI-13951,11
PGE-CSI-51954,27
PGE-CSI-13989,19
PGE-CSI-44248,17
PGE-CSI-14312,19
PGE-CSI-14327,19
PGE-CSI-64137,23
PGE-CSI-14762,17
PGE-CSI-51477,18
PGE-CSI-02220,22
PGE-CSI-59606,18
PGE-CSI-56156,17
PGE-CSI-64951,23
PGE-CSI-02318,22
PGE-CSI-48263,5
PGE-CSI-15454,31
PGE-CSI-15456,22
PGE-CSI-69734,20
PGE-CSI-69745,30
PGE-CSI-16107,25
PGE-CSI-70271,22
PGE-CSI-16966,40
PGE-CSI-03226,30
PGE-CSI-17437,11
PGE-CSI-17438,11
PGE-CSI-04218,17
PGE-CSI-17628,18
PGE-CSI-37452,20
PGE-CSI-17701,23
PGE-CSI-17763,18
PGE-CSI-03661,15
PGE-CSI-38766,22
PGE-CSI-36397,22
PGE-CSI-19135,15
PGE-CSI-19622,22
PGE-CSI-04725,30
PGE-CSI-38514,30
PGE-CSI-21341,0
PGE-CSI-37493,22
PGE-CSI-40511,19
PGE-CSI-05966,25
PGE-CSI-22369,22
PGE-CSI-22680,23
PGE-CSI-22834,22
PGE-CSI-23311,20
PGE-CSI-23335,13
PGE-CSI-06760,5
PGE-CSI-24025,5
PGE-CSI-24447,19
PGE-CSI-24516,24
PGE-CSI-41478,22
PGE-CSI-07509,18
PGE-CSI-53899,19
PGE-CSI-70274,22
PGE-CSI-48867,21
PGE-CSI-25399,20
PGE-MASH-00259,5
PGE-CSI-07663,19
PGE-CSI-61400,22
PGE-CSI-25512,30
PGE-CSI-26080,19
PGE-CSI-60555,18
PGE-CSI-26793,30
PGE-CSI-57195,18
PGE-CSI-26843,30
PGE-CSI-43867,15
PGE-CSI-54746,23
PGE-CSI-08477,18
PGE-CSI-56163,23
PGE-CSI-27097,4
PGE-CSI-68961,23
PGE-CSI-27103,4
PGE-CSI-51328,16
PGE-CSI-27440,22
PGE-CSI-54769,18
PGE-CSI-27579,26
PGE-CSI-67699,23
PGE-CSI-27749,19
PGE-CSI-43384,20
PGE-CSI-08950,19
PGE-CSI-48632,20
PGE-CSI-28016,23
PGE-CSI-61995,20
PGE-CSI-36616,23
PGE-CSI-44435,18
PGE-CSI-09555,15
PGE-CSI-46244,20
PGE-CSI-29323,18
PGE-CSI-29348,23
PGE-CSI-56353,23
PGE-CSI-55027,18
PGE-CSI-36832,30
PGE-CSI-51566,26
PGE-CSI-39502,20
PGE-CSI-52933,9
PGE-CSI-38403,26
PGE-CSI-42576,22
PGE-CSI-38019,19
PGE-CSI-42299,19
PGE-CSI-36983,14
PGE-CSI-44447,20
PGE-CSI-52960,20
PGE-CSI-37100,25
PGE-CSI-35965,23
PGE-CSI-50296,15
PGE-CSI-37740,22
PGE-CSI-59759,20
PGE-CSI-30452,14
PGE-CSI-41994,21
PGE-CSI-10394,22
PGE-CSI-31233,26
PGE-CSI-56072,18
PGE-CSI-36859,22
PGE-CSI-44054,34
PGE-CSI-11232,24
PGE-CSI-32381,22
PGE-CSI-53706,27
PGE-CSI-11455,21
PGE-CSI-54256,18
PGE-CSI-32858,24
PGE-CSI-34237,18
PGE-CSI-43516,18
PGE-CSI-11838,19
PGE-CSI-46278,22
PGE-CSI-00798,22
PGE-CSI-45306,22
PGE-CSI-34280,16
PGE-CSI-35024,30
PGE-CSI-57076,23
PGE-CSI-07983,20
PGE-CSI-56166,23
PGE-CSI-35621,17
PGE-MASH-00192,21
PGE-CSI-35622,18
PGE-CSI-53135,17
A-1607,30
PGE-CSI-01402,28
PGE-CSI-13283,20
PGE-CSI-65152,23
PGE-CSI-01491,19
PGE-CSI-13894,9
PGE-CSI-43838,22
PGE-CSI-14313,23
PGE-CSI-39653,19
PGE-CSI-69032,5
PGE-CSI-15825,19
PGE-CSI-15972,23
PGE-CSI-40573,28
PGE-CSI-70273,22
PGE-CSI-16394,18
PGE-CSI-70586,5
PGE-CSI-16721,19
PGE-CSI-03193,22
PGE-CSI-17709,32
PGE-CSI-17835,22
PGE-CSI-17864,26
PGE-CSI-17994,27
PGE-CSI-03818,30
PGE-CSI-19090,22
PGE-CSI-19188,18
PGE-CSI-04451,10
PGE-CSI-20053,19
PGE-CSI-20230,22
PGE-CSI-20618,18
PGE-CSI-05235,9
PGE-CSI-05489,10
PGE-CSI-21325,30
PGE-CSI-21328,22
PGE-CSI-21662,20
PGE-CSI-22321,22
PGE-CSI-39504,20
PGE-CSI-23160,24
PGE-CSI-23319,30
PGE-CSI-23733,10
PGE-CSI-23754,21
PGE-CSI-36614,18
PGE-CSI-52652,18
PGE-CSI-68159,18
PGE-CSI-27741,30
PGE-CSI-46205,26
PGE-CSI-01305,20
PGE-CSI-23868,19
PGE-CSI-02255,25
PGE-CSI-47415,17
PGE-CSI-28484,25
PGE-CSI-54415,30
PGE-CSI-29512,20
PGE-CSI-46271,17
PGE-CSI-29576,20
PGE-CSI-57421,25
PGE-CSI-30350,21
PGE-CSI-31637,20
PGE-CSI-31639,20
PGE-CSI-11431,30
PGE-CSI-34018,20
PGE-CSI-12511,20
PGE-CSI-34838,10
PGE-CSI-01422,27
PGE-CSI-01853,20
PGE-CSI-14154,20
PGE-CSI-15387,19
PGE-CSI-70568,25
PGE-CSI-03440,30
PGE-CSI-03819,22
PGE-CSI-66948,19
PGE-CSI-07583,33
PGE-CSI-58740,26
PGE-CSI-26512,34
PGE-CSI-67069,18
PGE-CSI-26688,24
PGE-CSI-53974,23
PGE-CSI-27091,16
PGE-CSI-45298,20
PGE-CSI-28505,22
PGE-CSI-51837,19
PGE-CSI-40046,27
PGE-CSI-52307,22
PGE-CSI-09923,20
PGE-CSI-66510,20
PGE-CSI-30775,30
PGE-CSI-63176,34
PGE-CSI-30875,27
PGE-CSI-62964,30
PGE-CSI-37332,24
PGE-CSI-50973,34
PGE-CSI-31926,30
PGE-CSI-41659,30
PGE-CSI-00600,30
PGE-CSI-51010,30
PGE-CSI-12705,20
PGE-CSI-51012,15
PGE-CSI-14088,20
PGE-CSI-60259,20
PGE-CSI-51013,15
PGE-CSI-14314,20
PGE-CSI-51011,17
PGE-CSI-30625,15
PGE-CSI-02696,30
PGE-CSI-02846,5
PGE-CSI-02882,20
PGE-CSI-18443,18
PGE-CSI-19223,22
PGE-CSI-05268,20
PGE-CSI-21149,22
PGE-CSI-21899,32
PGE-CSI-22058,19
PGE-CSI-22417,24
PGE-CSI-45210,34
PGE-CSI-39306,14
PGE-CSI-43945,26
PGE-CSI-70566,25
PGE-CSI-70567,25
PGE-CSI-65172,14
PGE-CSI-35347,30
PGE-CSI-65420,23
PGE-CSI-35348,30
PGE-CSI-08364,34
PGE-CSI-34458,18
PGE-CSI-35331,30
PGE-CSI-35334,30
PGE-CSI-35337,30
PGE-CSI-35338,30
PGE-CSI-70281,10
PGE-CSI-34695,18
PGE-CSI-54525,7
PGE-CSI-07262,15
PGE-CSI-63170,28
PGE-CSI-31449,20
PGE-CSI-50283,19
PGE-CSI-00705,20
PGE-CSI-50294,15
PGE-CSI-20504,18
PGE-CSI-44967,19
PGE-CSI-06867,15
PGE-CSI-44295,18
PGE-CSI-51482,24
PGE-CSI-25788,15
PGE-CSI-65989,2
PGE-CSI-53889,20
PGE-CSI-35341,30
PGE-CSI-47007,15
PGE-CSI-14918,24
PGE-CSI-70134,2
PGE-CSI-37490,20
PGE-CSI-41900,19
PGE-CSI-63682,19
PGE-CSI-64238,19
PGE-MASH-00187,19
PGE-CSI-26171,22
PGE-CSI-56786,27
PGE-CSI-10190,20
PGE-CSI-50811,17
PGE-CSI-30388,24
PGE-CSI-42256,30
PGE-CSI-30409,25
PGE-CSI-51777,19
PGE-CSI-10408,28
PGE-CSI-41541,23
PGE-CSI-32842,18
PGE-CSI-57295,23
PGE-CSI-33955,18
PGE-CSI-59479,23
PGE-CSI-45914,20
PGE-CSI-02578,28
PGE-CSI-45517,35
PGE-CSI-03001,20
PGE-CSI-42250,10
PGE-CSI-03274,30
PGE-CSI-44622,17
PGE-CSI-03380,20
PGE-CSI-56151,30
PGE-CSI-03552,18
PGE-CSI-59822,28
PGE-CSI-03579,30
PGE-CSI-67287,22
PGE-CSI-03841,18
PGE-CSI-48247,21
PGE-CSI-03855,18
PGE-CSI-45050,26
PGE-CSI-03856,22
PGE-CSI-43566,22
PGE-CSI-18202,27
PGE-CSI-45767,17
PGE-CSI-04078,30
PGE-CSI-45303,21
PGE-CSI-04343,30
PGE-CSI-04408,30
PGE-CSI-05217,22
PGE-CSI-05353,18
PGE-CSI-05886,18
PGE-CSI-57802,32
PGE-CSI-08044,19
PGE-CSI-56951,9
PGE-CSI-08338,33
PGE-CSI-45406,15
PGE-CSI-09266,20
PGE-CSI-57624,18
PGE-CSI-38734,20
PGE-CSI-45992,20
PGE-CSI-00293,15
PGE-CSI-51679,19
PGE-CSI-32529,19
PGE-CSI-49469,30
PGE-CSI-69721,15
PGE-CSI-48799,25
PGE-CSI-03958,20
PGE-CSI-49555,27
PGE-CSI-19843,26
PGE-CSI-62477,15
PGE-CSI-05039,30
PGE-CSI-64052,14
PGE-CSI-05223,19
PGE-CSI-47859,14
PGE-CSI-05332,15
PGE-CSI-49658,19
PGE-CSI-54126,33
PGE-CSI-43565,21
PGE-CSI-64521,23
PGE-CSI-53755,19
PGE-CSI-28866,18
PGE-CSI-55607,15
PGE-CSI-39761,19
PGE-CSI-59621,27
PGE-CSI-29963,18
PGE-CSI-61504,18
PGE-CSI-31832,18
PGE-CSI-13086,22
PGE-CSI-51272,13
PGE-CSI-13441,26
PGE-CSI-25317,30
PGE-CSI-18637,18
PGE-CSI-21574,5
PGE-CSI-45085,18
PGE-CSI-35346,30
PGE-CSI-49857,21
PGE-CSI-24987,30
PGE-CSI-61451,22
PGE-CSI-25300,14
PGE-CSI-54880,30
PGE-CSI-70251,10
PGE-CSI-60422,26
PGE-CSI-70303,20
PGE-CSI-68656,30
PGE-CSI-25401,22
PGE-CSI-41775,15
PGE-CSI-26945,19
PGE-CSI-50670,5
PGE-CSI-36199,19
PGE-CSI-50543,54
PGE-CSI-28642,20
PGE-CSI-48416,27
PGE-CSI-39551,5
PGE-CSI-63750,19
PGE-CSI-39124,18
PGE-CSI-61932,16
PGE-CSI-10007,15
PGE-CSI-41818,22
PGE-CSI-30495,19
PGE-CSI-58391,36
PGE-CSI-61814,23
PGE-CSI-30612,5
PGE-CSI-48456,18
PGE-CSI-10463,27
PGE-CSI-59132,30
PGE-CSI-00171,18
PGE-CSI-56226,22
PGE-CSI-10877,18
PGE-CSI-50594,19
PGE-CSI-32053,28
PGE-CSI-54438,26
PGE-CSI-32295,5
PGE-CSI-43047,22
PGE-CSI-32316,5
PGE-CSI-64000,23
PGE-CSI-36669,19
PGE-CSI-47084,19
PGE-CSI-32480,18
PGE-CSI-66121,20
PGE-CSI-11438,22
PGE-CSI-70082,30
PGE-CSI-32856,19
PGE-CSI-58179,23
PGE-CSI-00691,23
PGE-CSI-43825,22
PGE-CSI-33655,13
PGE-CSI-55671,30
PGE-CSI-33739,18
PGE-CSI-50735,24
PGE-CSI-34153,15
PGE-CSI-52505,20
PGE-CSI-35333,30
PGE-CSI-60963,23
PGE-CSI-35335,30
PGE-CSI-43713,20
PGE-CSI-35339,30
PGE-CSI-35342,30
PGE-CSI-70133,25
PGE-CSI-35343,30
PGE-CSI-59477,23
PGE-CSI-35344,30
PGE-CSI-50304,30
PGE-CSI-08949,16
PGE-CSI-63363,24
PGE-CSI-14179,19
PGE-CSI-63601,25
PGE-CSI-14360,0
PGE-CSI-66174,32
PGE-CSI-14453,18
PGE-CSI-50404,17
PGE-CSI-02250,30
PGE-CSI-45434,10
PGE-CSI-02517,30
PGE-CSI-57559,18
PGE-CSI-69718,18
PGE-CSI-63200,24
PGE-CSI-02735,18
PGE-CSI-57386,15
PGE-CSI-70255,10
PGE-CSI-70220,20
PGE-CSI-70252,10
PGE-CSI-16226,23
PGE-CSI-53708,5
PGE-CSI-70304,30
PGE-CSI-62075,18
PGE-CSI-70305,20
PGE-CSI-52402,20
PGE-CSI-70309,5
PGE-CSI-50076,5
PGE-CSI-70384,0
PGE-CSI-61839,19
PGE-CSI-03454,20
PGE-CSI-50516,20
PGE-CSI-03736,30
PGE-CSI-56320,18
PGE-CSI-04114,20
PGE-CSI-59457,26
PGE-CSI-04457,30
PGE-CSI-56659,22
PGE-CSI-19297,19
PGE-CSI-49421,22
PGE-CSI-09986,22
PGE-CSI-56089,29
PGE-CSI-21992,30
PGE-CSI-67066,18
PGE-CSI-23145,18
PGE-CSI-53111,23
PGE-CSI-35345,30
PGE-CSI-57017,20
PGE-CSI-23378,19
PGE-CSI-55892,20
PGE-CSI-06791,18
PGE-CSI-51958,21
PGE-CSI-35336,30
PGE-CSI-45266,27
PGE-CSI-01265,10
PGE-CSI-55968,23
PGE-CSI-42354,19
PGE-CSI-58887,23
PGE-CSI-28361,25
PGE-CSI-68467,21
PGE-CSI-02279,30
PGE-CSI-50212,19
PGE-CSI-22633,19
PGE-CSI-43809,19
PGE-CSI-22831,30
PGE-CSI-47578,18
PGE-CSI-62105,30
PGE-CSI-23864,23
PGE-CSI-53297,25
PGE-CSI-57047,20
PGE-CSI-56842,18
PGE-CSI-49622,25
PGE-CSI-25493,18
PGE-CSI-51197,23
PGE-CSI-25569,19
PGE-CSI-68281,23
PGE-CSI-25717,25
PGE-CSI-59175,18
PGE-CSI-25790,25
PGE-CSI-60319,21
PGE-CSI-25978,22
PGE-CSI-49451,19
PGE-CSI-26082,19
PGE-CSI-49871,18
PGE-CSI-08036,19
PGE-CSI-51190,23
PGE-CSI-26332,14
PGE-CSI-26941,20
PGE-CSI-52196,18
PGE-CSI-26947,19
PGE-CSI-52028,20
PGE-CSI-68844,24
PGE-CSI-08746,19
PGE-CSI-68874,20
PGE-CSI-08818,18
PGE-CSI-61008,20
PGE-CSI-27704,18
PGE-CSI-54704,37
PGE-CSI-28257,25
PGE-CSI-48922,20
PGE-CSI-28808,19
PGE-CSI-58549,30
PGE-CSI-09440,20
PGE-CSI-52863,27
PGE-CSI-09682,17
PGE-CSI-49638,25
PGE-CSI-09954,20
PGE-CSI-50160,31
PGE-CSI-29672,23
PGE-CSI-58305,5
PGE-CSI-40440,19
PGE-CSI-60840,26
PGE-CSI-40700,25
PGE-CSI-51556,19
PGE-CSI-59943,30
PGE-CSI-40218,30
PGE-CSI-57621,18
PGE-CSI-39936,28
PGE-CSI-54381,18
PGE-CSI-40015,22
PGE-CSI-57007,13
PGE-CSI-39462,5
PGE-CSI-39278,18
PGE-CSI-54706,30
PGE-CSI-39191,18
PGE-CSI-62289,23
PGE-CSI-29882,20
PGE-CSI-51111,10
PGE-CSI-38164,12
PGE-CSI-68066,29
PGE-CSI-38100,28
PGE-CSI-65479,18
PGE-CSI-29987,23
PGE-CSI-64870,23
PGE-CSI-37303,30
PGE-CSI-48514,23
PGE-CSI-30197,25
PGE-CSI-56573,30
PGE-CSI-35973,32
PGE-CSI-64001,18
PGE-CSI-30236,17
PGE-CSI-47074,18
PGE-CSI-30275,22
PGE-CSI-53452,22
PGE-CSI-30530,23
PGE-CSI-10307,19
PGE-CSI-56432,17
PGE-CSI-40794,18
PGE-CSI-65365,6
PGE-CSI-10326,30
PGE-CSI-55952,18
PGE-CSI-30839,31
PGE-CSI-57619,17
PGE-CSI-36729,23
PGE-CSI-70141,19
PGE-CSI-31524,30
PGE-CSI-58198,19
PGE-CSI-31607,23
PGE-CSI-56057,18
PGE-CSI-32079,20
PGE-CSI-62364,25
PGE-CSI-32340,28
PGE-CSI-48614,10
PGE-CSI-32376,30
PGE-CSI-51585,18
PGE-CSI-32741,18
PGE-CSI-63627,23
PGE-CSI-11448,15
PGE-CSI-33011,19
PGE-CSI-33175,20
PGE-CSI-62803,22
PGE-CSI-33476,18
PGE-CSI-48039,17
PGE-CSI-00764,20
PGE-CSI-66236,23
PGE-CSI-00786,31
PGE-CSI-52129,19
PGE-CSI-34122,20
PGE-CSI-43509,22
PGE-CSI-34715,5
PGE-CSI-51269,20
PGE-CSI-12905,13
PGE-CSI-42796,18
PGE-CSI-35561,18
PGE-CSI-47809,30
PGE-CSI-13471,4
PGE-CSI-43338,19
PGE-CSI-13759,19
PGE-CSI-68299,23
PGE-CSI-13797,21
PGE-CSI-46592,18
PGE-CSI-24862,27
PGE-CSI-63767,19
PGE-CSI-04141,22
PGE-CSI-66624,25
PGE-CSI-02135,30
PGE-CSI-67385,30
PGE-CSI-34372,19
PGE-CSI-02140,25
PGE-CSI-53094,25
PGE-CSI-59247,22
PGE-CSI-02478,22
PGE-CSI-15811,19
PGE-CSI-56321,17
PGE-CSI-02677,23
PGE-CSI-61533,23
PGE-CSI-02858,10
PGE-CSI-61786,21
PGE-CSI-70296,5
PGE-CSI-56696,22
PGE-CSI-16452,18
PGE-CSI-56338,27
PGE-CSI-16652,19
PGE-CSI-47851,19
PGE-CSI-16655,19
PGE-CSI-53148,21
PGE-CSI-16988,15
PGE-CSI-59015,20
PGE-CSI-03337,30
PGE-CSI-45390,24
PGE-CSI-18549,22
PGE-CSI-56118,23
PGE-CSI-03418,30
PGE-CSI-50140,23
PGE-CSI-17313,18
PGE-CSI-17520,22
PGE-CSI-17533,27
PGE-CSI-36901,21
PGE-CSI-30080,30
PGE-CSI-18203,30
PGE-CSI-18665,25
PGE-CSI-04135,22
PGE-CSI-04197,22
PGE-CSI-04409,26
PGE-CSI-19779,5
PGE-CSI-20125,18
PGE-CSI-20299,19
PGE-CSI-05116,30
PGE-CSI-20508,19
PGE-CSI-20885,18
PGE-CSI-21173,28
PGE-CSI-22302,35
PGE-CSI-21330,10
PGE-CSI-21337,19
PGE-CSI-05815,18
PGE-CSI-21955,10
PGE-CSI-21953,18
PGE-CSI-05901,18
PGE-CSI-22364,26
PGE-CSI-06049,9
PGE-CSI-22443,19
PGE-CSI-06425,30
PGE-CSI-37179,17
PGE-CSI-06484,18
PGE-CSI-23285,20
PGE-CSI-06886,22
PGE-CSI-24381,19
PGE-CSI-07142,25
PGE-CSI-67192,20
PGE-CSI-33680,18
PGE-CSI-16836,25
PGE-CSI-64365,18
PGE-CSI-24819,22
PGE-CSI-49877,18
PGE-CSI-07505,19
PGE-CSI-52005,19
PGE-CSI-25360,22
PGE-CSI-52094,20
PGE-CSI-25761,20
PGE-CSI-55806,23
PGE-CSI-25914,30
PGE-CSI-52096,20
PGE-CSI-30053,22
PGE-CSI-63092,5
PGE-CSI-27358,21
PGE-CSI-52425,26
PGE-CSI-08687,20
PGE-CSI-52100,20
PGE-CSI-27449,18
PGE-CSI-49152,19
PGE-CSI-28256,22
PGE-CSI-52442,10
PGE-CSI-09378,30
PGE-CSI-52106,10
PGE-CSI-40671,23
PGE-CSI-41579,10
PGE-CSI-39949,19
PGE-CSI-39851,5
PGE-CSI-66808,20
PGE-CSI-39713,4
PGE-CSI-52114,20
PGE-CSI-09903,30
PGE-CSI-45615,25
PGE-CSI-39275,24
PGE-CSI-52113,20
PGE-CSI-41027,20
PGE-CSI-38850,5
PGE-CSI-37998,30
PGE-CSI-48341,22
PGE-CSI-30070,19
PGE-CSI-60836,30
PGE-CSI-36489,15
PGE-CSI-41127,18
PGE-CSI-30623,23
PGE-CSI-61651,27
PGE-CSI-63896,23
PGE-CSI-30993,15
PGE-CSI-55491,23
PGE-CSI-00206,26
PGE-CSI-41871,18
PGE-CSI-32097,19
PGE-CSI-53133,22
PGE-CSI-12047,18
PGE-CSI-45669,24
PGE-CSI-14328,24
PGE-CSI-63637,23
PGE-CSI-02136,30
PGE-CSI-49400,23
PGE-CSI-14846,24
PGE-CSI-52265,30
PGE-CSI-69567,5
PGE-CSI-56811,18
PGE-CSI-69667,30
PGE-CSI-60861,18
PGE-CSI-69698,17
PGE-CSI-53282,23
PGE-CSI-68083,34
PGE-CSI-48901,27
PGE-CSI-16902,19
PGE-CSI-61354,25
PGE-CSI-17519,18
PGE-CSI-61424,20
PGE-CSI-19143,4
PGE-CSI-51370,17
PGE-CSI-49415,22
PGE-CSI-05153,15
PGE-CSI-51464,23
PGE-CSI-36594,22
PGE-MASH-00098,22
PGE-CSI-21449,20
PGE-CSI-67588,23
PGE-CSI-21638,24
PGE-CSI-43544,19
PGE-CSI-21674,24
PGE-CSI-64354,23
PGE-CSI-21909,20
PGE-CSI-22007,19
PGE-CSI-63722,20
PGE-CSI-05861,22
PGE-CSI-49691,18
PGE-CSI-38790,19
PGE-CSI-54364,22
PGE-CSI-06122,20
PGE-CSI-61536,20
PGE-CSI-22793,23
PGE-CSI-22989,34
PGE-CSI-62861,19
PGE-CSI-23453,22
PGE-CSI-59024,25
PGE-CSI-02967,20
PGE-CSI-24363,15
PGE-CSI-36823,19
PGE-CSI-65369,19
PGE-CSI-36968,30
PGE-CSI-66451,20
PGE-CSI-26330,20
PGE-CSI-50109,22
PGE-CSI-06944,23
PGE-CSI-58392,20
PGE-CSI-35419,30
PGE-CSI-62228,18
PGE-CSI-02313,30
PGE-CSI-65469,20
PGE-CSI-17206,20
PGE-CSI-51973,19
PGE-CSI-03535,19
PGE-CSI-65644,10
PGE-CSI-03974,20
PGE-CSI-66249,20
PGE-CSI-20605,25
PGE-CSI-65646,20
PGE-CSI-05264,20
PGE-CSI-65643,20
PGE-CSI-05978,19
PGE-CSI-24134,19
PGE-CSI-56607,18
PGE-CSI-30002,14
PGE-CSI-30534,19
PGE-CSI-30566,19
PGE-CSI-26671,18
