,variable,value,lat,log
2107,dec,2.15,37.3263,-121.9178
2108,dec,1.87,38.5449,-122.8079
2109,dec,3.09,32.8231,-116.7386
2110,dec,2.83,34.0858,-117.8869
2111,dec,2.8,33.9753,-117.7231
2112,dec,2.1,38.0796,-120.1687
2113,dec,2.12,37.5272,-121.9679
2114,dec,1.9,38.7957,-122.99700000000001
2115,dec,3.11,34.4812,-116.906
2116,dec,2.1,36.3121,-119.8035
2117,dec,2.86,33.6855,-117.6669
2118,dec,2.91,33.0531,-117.2686
2119,dec,2.83,34.0184,-117.8544
2120,dec,2.35,35.3783,-119.4166
2121,dec,1.91,38.2771,-122.4706
2122,dec,2.89,35.9456,-117.20299999999999
2123,dec,1.89,38.0251,-121.2972
2124,dec,3.2,33.6283,-114.6191
2125,dec,1.91,37.7765,-120.8476
2126,dec,2.08,37.4063,-122.0084
2127,dec,1.99,37.8019,-122.4102
2128,dec,2.83,34.0042,-117.8167
2129,dec,2.88,34.1095,-117.3762
2130,dec,2.11,37.3744,-122.213
2131,dec,2.06,37.6886,-122.1542
2132,dec,2.85,33.7242,-117.9062
2133,dec,2.03,38.0874,-120.5807
2134,dec,1.94,37.7429,-121.1255
2135,dec,2.29,35.8425,-119.0148
2136,dec,2.85,34.0023,-118.0356
2137,dec,2.1,37.4499,-122.1275
2138,dec,2.78,33.795,-118.1182
2139,dec,3.08,32.5796,-117.1171
2140,dec,1.89,37.9743,-121.3147
2141,dec,2.81,34.027,-118.4743
2142,dec,1.95,38.0632,-122.5411
2143,dec,3.01,33.7354,-116.97399999999999
2144,dec,3.01,33.7088,-116.9095
2145,dec,2.82,33.8162,-118.215
2146,dec,3.08,33.843,-116.5434
2147,dec,2.21,37.6736,-119.8131
2148,dec,2.82,33.9975,-118.1528
2149,dec,3.18,34.0666,-116.5595
2150,dec,2.82,33.8705,-118.2881
2151,dec,2.85,33.7086,-117.9563
2152,dec,2.98,33.6604,-117.1899
2153,dec,2.33,36.6812,-121.6154
2154,dec,2.25,36.2098,-120.0847
2155,dec,1.93,38.7247,-120.7953
2156,dec,1.92,38.5112,-122.45700000000001
2157,dec,3.17,33.7594,-116.3232
2158,dec,2.81,33.8663,-118.3997
2159,dec,2.85,33.9038,-117.6022
2160,dec,2.81,33.7829,-118.0262
2161,dec,1.88,38.405,-122.7275
2162,dec,2.86,34.1908,-118.837
2163,dec,2.75,33.6772,-117.9086
2164,dec,2.86,34.2849,-118.4382
2165,dec,2.03,37.8796,-122.2668
2166,dec,3.07,32.7413,-117.0951
2167,dec,2.82,33.7621,-117.8183
2168,dec,1.86,39.2027,-121.0208
2169,dec,2.08,37.6897,-121.8924
2170,dec,3.06,32.6626,-116.9541
2171,dec,1.79,39.4517,-123.3728
2172,dec,3.0,33.1796,-117.2446
2173,dec,2.36,35.3814,-119.0194
2174,dec,2.85,33.763000000000005,-117.9355
2175,dec,2.89,33.9259,-117.5598
2176,dec,2.21,37.1376,-121.6621
2177,dec,2.11,37.6977,-122.025
2178,dec,2.9,34.1051,-117.2908
2179,dec,2.83,33.8691,-117.9299
2180,dec,2.82,33.747,-117.8625
2181,dec,2.98,33.2025,-117.3608
2182,dec,3.03,35.0307,-117.6726
2183,dec,2.34,35.3055,-119.3893
2184,dec,2.85,34.0891,-118.0951
2185,dec,1.89,39.0517,-122.9207
2186,dec,2.03,37.8347,-122.2832
2187,dec,2.01,37.6529,-122.4301
2188,dec,2.06,37.312,-121.0314
2189,dec,2.86,34.2788,-119.1678
2190,dec,1.81,38.3834,-121.5782
2191,dec,2.84,34.4788,-118.6526
2192,dec,2.93,34.0633,-117.1689
2193,dec,2.82,33.852,-118.1468
2194,dec,2.85,33.7471,-117.9043
2195,dec,2.14,37.284,-121.8266
2196,dec,1.91,37.9587,-121.288
2197,dec,2.86,34.016,-117.6874
2198,dec,1.99,37.7328,-122.3935
2199,dec,2.03,37.7861,-122.4374
2200,dec,2.65,35.2625,-120.652
2201,dec,2.97,35.0453,-118.1614
2202,dec,2.87,34.175,-118.9396
2203,dec,2.36,36.1334,-121.63799999999999
2204,dec,2.86,34.1377,-117.9657
2205,dec,2.72,34.8514,-118.8799
2206,dec,2.82,33.8683,-118.0675
2207,dec,3.1,32.746,-117.1672
2208,dec,3.0,32.7259,-117.2308
2209,dec,2.81,34.1669,-119.1611
2210,dec,1.83,39.0268,-123.3862
2211,dec,2.04,36.5346,-119.8359
2212,dec,2.8,33.985,-117.897
2213,dec,1.78,39.415,-122.0249
2214,dec,3.04,33.4953,-117.0766
2215,dec,2.85,34.0766,-118.0394
2216,dec,2.22,35.8737,-119.2636
2217,dec,1.87,38.1326,-121.3228
2218,dec,1.75,40.0393,-122.1655
2219,dec,1.86,39.1395,-122.2056
2220,dec,2.13,36.3006,-119.2055
2221,dec,2.02,37.7768,-122.2179
2222,dec,1.98,37.9863,-122.0399
2223,dec,1.9,38.3933,-122.8367
2224,dec,2.01,37.6138,-122.4823
2225,dec,1.89,38.2314,-122.0541
2226,dec,1.99,38.3598,-120.7532
2227,dec,2.81,33.9345,-117.9516
2228,dec,2.81,34.0296,-117.9398
2229,dec,2.03,37.8271,-122.2229
2230,dec,2.15,37.1518,-122.1368
2231,dec,2.83,33.9146,-118.3509
2232,dec,1.95,38.0051,-122.2578
2233,dec,2.85,34.0505,-118.0483
2234,dec,2.03,37.7982,-122.4003
2235,dec,1.98,37.9188,-122.0262
2236,dec,2.08,37.7384,-122.1733
2237,dec,2.96,33.7841,-117.2981
2238,dec,2.02,36.8317,-119.83200000000001
2239,dec,2.86,34.0773,-117.6222
2240,dec,2.82,33.8493,-118.0439
2241,dec,2.86,33.6876,-117.7885
2242,dec,3.08,32.7211,-116.9961
2243,dec,2.03,37.7928,-122.4219
2244,dec,2.86,33.6028,-117.713
2245,dec,3.06,34.6417,-117.508
2246,dec,2.85,34.0661,-118.0847
2247,dec,2.13,36.3589,-119.2403
2248,dec,2.86,34.2171,-119.1769
2249,dec,2.96,33.3804,-117.2061
2250,dec,2.15,37.3077,-121.9998
2251,dec,1.93,38.5979,-122.6095
2252,dec,2.03,37.8349,-122.264
2253,dec,2.86,33.6155,-117.6409
2254,dec,2.29,37.6216,-118.8628
2255,dec,1.79,39.6243,-121.7915
2256,dec,1.75,40.0414,-122.0979
2257,dec,1.97,38.7481,-120.6746
2258,dec,3.02,33.1427,-117.0305
2259,dec,2.95,34.0336,-117.0378
2260,dec,2.86,34.2318,-119.0526
2261,dec,2.81,34.0681,-117.9383
2262,dec,1.8,39.1093,-121.6803
2263,dec,2.85,34.4065,-118.5621
2264,dec,2.12,37.1875,-121.0323
2265,dec,2.97,33.7367,-117.0217
2266,dec,1.92,38.2437,-122.6934
2267,dec,2.81,34.0977,-117.90700000000001
2268,dec,2.63,35.2772,-120.7031
2269,dec,3.1,32.7429,-117.1277
2270,dec,1.95,39.9573,-120.9837
2271,dec,2.0,37.9414,-122.3663
2272,dec,1.77,39.3522,-121.7113
2273,dec,2.74,34.9008,-120.3488
2274,dec,2.85,34.4453,-118.5525
2275,dec,2.26,35.6707,-119.2134
2276,dec,2.78,33.4271,-117.61399999999999
2277,dec,2.79,34.4032,-119.7207
2278,dec,2.85,34.0801,-117.7386
2279,dec,2.86,33.64,-117.6035
2280,dec,1.92,38.2433,-122.6069
2281,dec,2.82,33.9202,-118.1429
2282,dec,2.56,35.373000000000005,-120.8384
2283,dec,2.16,37.3863,-121.8899
2284,dec,2.94,33.4795,-117.2093
2285,dec,2.91,33.0978,-117.2674
2286,dec,2.85,33.6508,-117.8177
2287,dec,1.74,39.3119,-123.7917
2288,dec,2.0,37.9916,-121.8021
2289,dec,1.92,38.403,-122.3623
2290,dec,1.86,38.7892,-121.2382
2291,dec,1.87,38.5374,-121.9776
2292,dec,2.8,34.1192,-117.8548
2293,dec,2.16,37.3695,-121.8208
2294,dec,2.1,37.4517,-122.1839
2295,dec,2.07,36.6136,-119.5287
2296,dec,3.1,34.4876,-117.8988
2297,dec,2.05,37.7142,-121.9257
2298,dec,1.78,39.6053,-122.0323
2299,dec,1.95,37.4699,-120.6761
2300,dec,1.84,39.4998,-122.2077
2301,dec,2.17,36.9761,-121.9532
2302,dec,3.13,32.5563,-117.0506
2303,dec,2.14,37.4992,-122.2665
2304,dec,2.03,36.7226,-120.1008
2305,dec,2.91,33.9136,-117.4605
2306,dec,2.09,37.4758,-122.4432
2307,dec,2.03,36.8256,-119.7636
2308,dec,2.21,37.0079,-121.9507
2309,dec,2.84,34.2188,-118.9921
2310,dec,2.11,37.6578,-121.7301
2311,dec,1.99,37.3226,-120.883
2312,dec,2.13,37.3305,-121.7914
2313,dec,2.0,37.9265,-122.3408
2314,dec,2.83,33.9585,-118.31
2315,dec,2.81,33.8993,-118.319
2316,dec,2.85,33.6956,-117.8059
2317,dec,3.04,32.9736,-117.037
2318,dec,2.16,37.3339,-121.8915
2319,dec,2.82,34.073,-118.1462
2320,dec,2.16,37.2705,-122.023
2321,dec,2.36,35.3408,-119.065
2322,dec,3.17,33.7013,-116.3415
2323,dec,1.78,39.721,-121.8189
2324,dec,2.82,34.2112,-118.1978
2325,dec,2.13,36.3879,-119.2191
2326,dec,2.14,37.3537,-122.0872
2327,dec,2.83,33.9342,-118.3325
2328,dec,2.16,36.4311,-119.1064
2329,dec,3.08,32.7325,-116.9509
2330,dec,2.87,34.1408,-118.0018
2331,dec,1.78,39.760999999999996,-122.21799999999999
2332,dec,1.95,38.0982,-122.5981
2333,dec,2.8,34.1033,-117.8181
2334,dec,2.82,33.7417,-117.8213
2335,dec,1.96,37.9816,-122.5688
2336,dec,2.82,33.841,-118.0097
2337,dec,1.73,40.1838,-122.2407
2338,dec,1.84,38.7688,-121.3363
2339,dec,3.07,32.785,-117.0186
2340,dec,2.03,37.8117,-121.9865
2341,dec,2.06,37.6356,-122.1042
2342,dec,2.85,34.4248,-118.4451
2343,dec,3.12,32.6088,-117.0607
2344,dec,1.86,38.0355,-121.3438
2345,dec,2.97,33.8911,-117.2726
2346,dec,2.91,33.9263,-117.4094
2347,dec,2.81,34.0149,-118.4922
2348,dec,2.32,37.4057,-119.5675
2349,dec,2.82,33.8395,-117.5358
2350,dec,1.99,37.2454,-120.2712
2351,dec,2.89,33.6759,-117.3495
2352,dec,2.23,37.0887,-121.6005
2353,dec,2.94,33.8198,-117.1178
2354,dec,3.09,33.7987,-116.5189
2355,dec,2.86,34.1435,-118.8561
2356,dec,1.96,37.9362,-122.5355
2357,dec,2.01,37.8798,-122.0714
2358,dec,2.88,34.1205,-117.3176
2359,dec,2.0,37.9178,-122.3043
2360,dec,2.56,35.8181,-120.6364
2361,dec,2.06,36.6087,-119.4376
2362,dec,2.83,33.8743,-117.9637
2363,dec,2.03,37.8437,-122.2437
2364,dec,2.67,35.1197,-120.5512
2365,dec,2.85,33.7869,-117.9822
2366,dec,2.03,37.8124,-122.242
2367,dec,2.82,33.8233,-118.1133
2368,dec,2.82,33.8175,-118.0399
2369,dec,2.82,33.9107,-118.2362
2370,dec,2.16,37.3057,-121.8114
2371,dec,2.03,37.8625,-122.2758
2372,dec,3.07,32.7944,-117.0722
2373,dec,2.01,37.8567,-122.0249
2374,dec,1.84,38.7256,-123.4762
2375,dec,3.09,34.5967,-117.8447
2376,dec,2.15,37.311,-121.9616
2377,dec,2.86,33.6596,-117.7395
2378,dec,2.81,33.8108,-118.351
2379,dec,2.85,33.6392,-117.5852
2380,dec,2.08,37.754,-122.1897
2381,dec,3.02,34.4972,-118.1895
2382,feb,3.89,34.7289,-118.3268
2383,feb,3.28,36.7586,-119.8102
2384,feb,3.8,33.0224,-117.1069
2385,feb,2.91,37.9077,-122.70200000000001
2386,feb,4.14,34.448,-117.1922
2387,feb,3.69,33.5708,-117.6346
2388,feb,3.35,35.1628,-119.4303
2389,feb,3.63,34.1982,-117.3583
2390,feb,3.84,32.7991,-116.9733
2391,feb,3.65,34.066,-118.3827
2392,feb,3.68,33.9228,-117.1684
2393,feb,3.0,37.9321,-121.7038
2394,feb,2.85,37.9501,-122.5428
2395,feb,3.62,33.9246,-118.2019
2396,feb,2.97,38.0185,-121.0567
2397,feb,3.04,37.5523,-120.7846
2398,feb,3.66,33.7873,-117.8749
2399,feb,3.42,35.775,-119.2337
2400,feb,3.61,33.9423,-118.12899999999999
2401,feb,2.93,37.8946,-122.2792
2402,feb,3.62,33.7927,-117.7998
2403,feb,2.95,38.3461,-120.9452
2404,feb,3.82,32.9989,-117.0705
2405,feb,3.92,34.4934,-117.7744
2406,feb,2.75,38.3679,-122.5247
2407,feb,3.66,33.8238,-118.2668
2408,feb,4.19,34.9562,-117.2199
2409,feb,3.52,34.117,-117.771
2410,feb,3.61,33.9292,-118.009
2411,feb,3.68,33.5712,-117.1536
2412,feb,3.98,34.6061,-118.185
2413,feb,2.87,37.6826,-122.4821
2414,feb,3.66,34.457,-119.2531
2415,feb,3.05,37.3485,-121.8863
2416,feb,2.87,37.6992,-122.4504
2417,feb,3.45,35.4749,-120.676
2418,feb,2.89,41.1144,-121.33200000000001
2419,feb,3.27,36.5668,-119.62200000000001
2420,feb,2.71,38.4141,-122.5467
2421,feb,3.9,32.7603,-117.0703
2422,feb,2.85,37.9724,-122.5148
2423,feb,3.96,32.6709,-117.0927
2424,feb,3.62,34.2793,-118.6961
2425,feb,3.6,34.0142,-118.1136
2426,feb,3.76,33.2409,-117.2985
2427,feb,3.65,34.2929,-118.8713
2428,feb,3.6,33.8127,-117.8162
2429,feb,2.73,38.7911,-122.6107
2430,feb,3.69,33.6735,-118.0024
2431,feb,2.96,37.3802,-122.0879
2432,feb,3.25,36.7285,-119.5357
2433,feb,3.69,33.958,-117.2483
2434,feb,3.39,35.8016,-119.117
2435,feb,2.68,40.6414,-122.3421
2436,feb,3.63,33.769,-118.1923
2437,feb,3.0,37.2788,-121.9545
2438,feb,3.62,33.9729,-118.2488
2439,feb,2.87,38.3472,-122.6954
2440,feb,2.94,37.4449,-122.2625
2441,feb,2.81,38.4959,-122.9064
2442,feb,3.0,36.9707,-121.9909
2443,feb,3.01,37.8169,-121.2854
2444,feb,3.57,34.2563,-117.1913
2445,feb,3.6,33.8318,-117.8474
2446,feb,2.81,38.2459,-122.9064
2447,feb,3.77,33.1449,-117.1713
2448,feb,3.85,32.8388,-117.2616
2449,feb,3.65,34.0093,-118.4729
2450,feb,3.21,36.9915,-119.9873
2451,feb,3.01,37.2136,-121.8567
2452,feb,2.96,38.1456,-120.8573
2453,feb,3.69,33.6929,-117.2504
2454,feb,2.92,39.4135,-121.7116
2455,feb,3.11,36.8622,-121.3801
2456,feb,3.22,36.7532,-119.697
2457,feb,3.06,37.7823,-121.2358
2458,feb,3.62,34.0018,-117.5276
2459,feb,3.3,35.3248,-118.9633
2460,feb,3.01,37.8128,-121.2142
2461,feb,3.23,37.0484,-120.8698
2462,feb,3.28,35.1327,-118.5078
2463,feb,2.86,37.5516,-122.3277
2464,feb,2.81,38.3372,-122.3003
2465,feb,4.1,34.6919,-117.9776
2466,feb,3.2,36.8401,-119.6611
2467,feb,3.57,34.1341,-118.0266
2468,feb,2.78,38.4382,-122.6742
2469,feb,3.62,34.1395,-118.7607
2470,feb,3.85,32.9975,-117.2609
2471,feb,3.75,34.1725,-116.8759
2472,feb,3.79,33.0165,-117.2026
2473,feb,2.92,39.4965,-121.7471
2474,feb,3.85,32.6381,-116.9519
2475,feb,3.0,37.7978,-121.0018
2476,feb,2.78,38.4606,-122.6422
2477,feb,3.16,36.7673,-119.765
2478,feb,2.66,40.5049,-121.835
2479,feb,3.58,34.1317,-117.5924
2480,feb,3.67,33.2617,-117.0103
2481,feb,3.83,32.8468,-116.9898
2482,feb,2.74,38.8803,-120.9743
2483,feb,3.65,34.1335,-118.6646
2484,feb,2.39,40.7937,-124.161
2485,feb,2.77,39.5586,-121.5892
2486,feb,2.84,38.5922,-121.52799999999999
2487,feb,3.08,37.4775,-121.1456
2488,feb,3.35,36.8,-120.58
2489,feb,3.06,37.4322,-120.0968
2490,feb,2.81,39.0899,-121.5505
2491,feb,2.94,37.6337,-122.061
2492,feb,4.22,33.9523,-116.508
2493,feb,2.82,39.9183,-122.2139
2494,feb,3.59,33.8832,-117.7386
2495,feb,3.91,32.6643,-116.4651
2496,feb,3.16,36.4177,-119.0046
2497,feb,2.94,38.0042,-121.3237
2498,feb,2.88,39.1141,-121.6196
2499,feb,2.91,38.5493,-121.7365
2500,feb,3.75,32.8904,-116.6246
2501,feb,3.63,33.7761,-118.1185
2502,feb,3.05,37.9952,-120.3437
2503,feb,3.73,33.9988,-117.447
2504,feb,2.92,37.7487,-122.4155
2505,feb,3.22,36.8415,-119.7983
2506,feb,2.85,39.4422,-121.9522
2507,feb,3.16,37.2974,-120.3229
2508,feb,3.62,33.6402,-117.6911
2509,feb,3.31,35.949,-119.0374
2510,feb,2.97,37.317,-121.9356
2511,feb,3.65,34.0889,-117.4521
2512,feb,3.98,34.6987,-118.1501
2513,feb,3.61,33.9783,-118.0678
2514,feb,3.66,33.8933,-118.204
2515,feb,3.12,36.9229,-121.7722
2516,feb,3.9,32.707,-117.0542
2517,feb,3.7,33.8288,-118.3832
2518,feb,2.94,37.7997,-122.2121
2519,feb,3.25,36.351,-119.3366
2520,feb,3.69,34.6269,-120.0661
2521,feb,3.26,36.6265,-119.6753
2522,feb,3.77,33.122,-117.156
2523,feb,2.89,38.2002,-121.2351
2524,feb,2.8,39.2521,-121.6944
2525,feb,2.89,38.5463,-121.6868
2526,feb,4.07,34.5612,-118.0375
2527,feb,3.0,37.8477,-121.6081
2528,feb,2.96,37.3501,-122.036
2529,feb,2.78,37.8394,-122.1243
2530,feb,3.64,34.0704,-117.6994
2531,feb,2.9,37.9541,-122.0251
2532,feb,3.66,33.8574,-118.2563
2533,feb,2.93,37.865,-122.2859
2534,feb,3.67,34.4437,-119.9421
2535,feb,3.56,34.3847,-118.587
2536,feb,2.95,37.0577,-122.0597
2537,feb,3.63,33.8672,-118.0806
2538,feb,2.83,38.6412,-120.9711
2539,feb,3.62,33.8882,-118.1276
2540,feb,3.04,37.4365,-121.8944
2541,feb,2.94,37.4835,-122.2144
2542,feb,2.86,37.5704,-122.3204
2543,feb,2.87,38.8323,-121.5166
2544,feb,3.59,33.6965,-117.3247
2545,feb,3.69,33.7593,-118.0824
2546,feb,3.58,34.0636,-117.8974
2547,feb,2.92,37.7723,-122.4109
2548,feb,3.85,32.8564,-117.2114
2549,feb,3.61,33.9336,-118.0682
2550,feb,3.01,37.5922,-122.0458
2551,feb,3.96,32.7623,-117.1225
2552,feb,2.8,38.4805,-122.7498
2553,feb,2.98,37.6785,-122.132
2554,feb,3.04,37.2995,-121.7545
2555,feb,2.94,37.7932,-122.2435
2556,feb,3.62,33.6113,-117.6668
2557,feb,3.94,32.6974,-117.12
2558,feb,2.85,37.5543,-122.2703
2559,feb,3.35,36.0594,-119.3203
2560,feb,3.39,35.8349,-120.9809
2561,feb,2.8,38.8573,-122.2149
2562,feb,3.66,33.8334,-118.292
2563,feb,2.9,37.79,-122.1861
2564,feb,2.98,37.9548,-121.3073
2565,feb,3.07,36.9806,-122.046
2566,feb,2.94,37.4586,-122.2001
2567,feb,2.9,39.7935,-121.8795
2568,feb,3.05,37.3296,-121.8336
2569,feb,3.73,33.6348,-117.8745
2570,feb,2.88,38.2912,-122.2867
2571,feb,3.62,33.9764,-118.4546
2572,feb,3.83,32.8738,-116.9048
2573,feb,3.41,35.605,-119.3714
2574,feb,3.08,37.5398,-121.24700000000001
2575,feb,3.22,36.6659,-121.655
2576,feb,3.13,37.4002,-120.6109
2577,feb,3.56,34.0006,-117.9694
2578,feb,3.85,32.6425,-116.9897
2579,feb,4.18,34.5596,-117.3577
2580,feb,2.9,37.7034,-122.12799999999999
2581,feb,3.62,33.9784,-118.2177
2582,feb,3.65,34.0216,-118.3917
2583,feb,3.7,34.0641,-117.3943
2584,feb,2.94,37.6744,-122.0888
2585,feb,2.89,38.0505,-122.6787
2586,feb,3.65,34.8745,-120.4281
2587,feb,3.62,33.7149,-117.7633
2588,feb,2.85,37.9242,-122.516
2589,feb,3.96,32.6387,-117.0669
2590,feb,3.76,33.2133,-117.2147
2591,feb,3.46,35.4905,-119.2649
2592,feb,4.17,33.7629,-116.4225
2593,feb,3.64,34.1272,-117.2007
2594,feb,3.05,37.515,-121.9292
2595,feb,4.17,35.5992,-117.6806
2596,feb,3.67,34.4812,-118.4282
2597,feb,2.9,38.6843,-121.0688
2598,feb,2.9,38.4272,-121.8135
2599,feb,3.37,36.0853,-119.5548
2600,feb,2.99,38.1461,-120.4546
2601,feb,3.85,32.9143,-117.1412
2602,feb,2.95,37.4068,-122.0746
2603,feb,4.02,32.5744,-117.0563
2604,feb,2.55,40.8762,-121.8898
2605,feb,3.84,32.7887,-116.9049
2606,feb,3.3,35.3871,-118.9865
2607,feb,3.27,36.6586,-119.741
2608,feb,3.81,33.1954,-117.2823
2609,feb,3.01,37.2951,-121.8965
2610,feb,3.64,34.0511,-118.8077
2611,feb,2.88,37.9989,-122.115
2612,feb,3.69,33.794000000000004,-118.0722
2613,feb,2.92,37.8981,-122.5413
2614,feb,3.81,32.8228,-117.0984
2615,feb,3.22,36.7097,-121.64
2616,feb,2.87,37.6007,-122.4013
2617,feb,2.96,37.3783,-122.024
2618,feb,3.7,33.8712,-118.3718
2619,feb,3.6,34.1014,-118.5993
2620,feb,2.86,37.5749,-122.3633
2621,feb,3.29,36.202,-119.0859
2622,feb,3.57,34.1016,-118.0561
2623,feb,3.56,34.0469,-117.9846
2624,feb,3.68,33.5815,-117.7247
2625,feb,3.89,32.8239,-117.1997
2626,feb,2.9,37.9517,-122.0732
2627,feb,3.89,32.8038,-117.1359
2628,feb,2.89,37.4125,-121.9446
2629,feb,3.77,33.0358,-116.8513
2630,feb,2.94,38.0389,-121.2421
2631,feb,3.64,34.1394,-118.3503
2632,feb,2.78,38.4576,-122.6932
2633,feb,3.54,34.6767,-118.4559
2634,feb,3.56,34.3778,-118.5149
2635,feb,2.89,38.5276,-120.6929
2636,feb,3.54,34.1386,-117.6636
2637,feb,3.85,32.961,-117.1251
2638,feb,3.58,33.8808,-117.5407
2639,feb,3.65,33.8757,-117.994
2640,feb,2.85,37.5167,-122.2903
2641,feb,4.13,35.0444,-117.8578
2642,feb,2.6,39.437,-123.7609
2643,feb,3.05,37.3735,-121.8578
2644,feb,3.66,33.8906,-118.2367
2645,feb,2.96,38.0049,-121.4002
2646,feb,3.18,36.538000000000004,-119.3889
2647,feb,2.79,38.9029,-121.29799999999999
2648,feb,3.64,34.265,-118.7718
2649,feb,3.91,32.6722,-116.315
2650,feb,3.21,36.1419,-119.0941
2651,feb,3.32,36.0154,-121.2484
2652,feb,3.63,33.781,-118.19200000000001
2653,feb,3.66,33.7851,-117.8457
2654,feb,3.0,37.9921,-121.7133
2655,feb,2.97,37.9235,-121.9117
2656,feb,4.05,34.4535,-117.5339
2657,feb,3.19,37.3802,-120.7261
2658,feb,2.89,38.2696,-122.037
2659,feb,3.01,37.2693,-121.8494
2660,feb,4.12,35.2628,-116.6945
2661,feb,3.65,34.0322,-118.4902
2662,feb,3.57,34.1511,-118.0897
2663,feb,3.7,33.8288,-118.3137
2664,feb,4.1,34.5333,-117.949
2665,feb,2.89,39.2833,-122.2021
2666,feb,3.9,32.7618,-117.0127
2667,feb,3.68,33.5277,-117.1206
2668,feb,3.64,34.107,-117.2975
2669,feb,3.01,37.2576,-121.8907
2670,feb,3.0,37.2412,-121.9534
2671,feb,3.7,33.889,-118.4053
2672,feb,4.17,34.4895,-117.3532
2673,feb,3.62,33.9213,-118.4084
2674,feb,3.6,34.1251,-117.4582
2675,feb,3.65,34.045,-118.4453
2676,feb,3.72,33.6532,-117.0799
2677,feb,2.85,38.8512,-121.7335
2678,feb,3.96,32.7736,-117.1379
2679,feb,3.23,36.6158,-121.8346
2680,feb,2.79,38.9768,-121.0914
2681,feb,3.61,33.9021,-118.0097
2682,feb,3.64,34.4435,-119.803
2683,feb,3.72,33.7514,-117.9939
2684,feb,3.82,32.918,-117.0844
2685,feb,3.6,33.8881,-117.8041
2686,feb,2.8,38.818000000000005,-121.2631
2687,feb,3.6,33.8116,-117.8292
2688,feb,3.28,36.691,-119.8332
2689,feb,2.93,37.8064,-122.289
2690,feb,2.89,38.1171,-122.5632
2691,feb,3.66,33.9453,-116.9759
2692,feb,3.66,33.7191,-117.8714
2693,feb,3.54,34.1017,-117.6578
2694,feb,2.79,38.9562,-122.6352
2695,feb,3.79,32.7182,-116.8261
2696,feb,3.46,35.2005,-119.17399999999999
2697,feb,3.04,37.2322,-121.7909
2698,feb,3.52,34.4022,-119.5231
2699,feb,4.12,35.1393,-117.9147
2700,feb,3.64,34.0576,-117.6656
2701,feb,3.86,33.486,-116.82
2702,feb,2.97,37.9578,-121.9771
2703,feb,3.66,34.9563,-120.4524
2704,feb,3.64,34.4396,-119.7679
2705,feb,3.68,33.5353,-117.7719
2706,feb,3.58,34.1278,-117.5246
2707,feb,3.0,37.2896,-121.9831
2708,feb,3.85,32.9,-117.2072
2709,feb,2.86,38.019,-122.5459
2710,feb,3.61,33.3119,-116.965
2711,feb,3.42,36.5235,-120.3843
2712,feb,4.2,33.7157,-116.385
2713,feb,3.68,34.9589,-120.5801
2714,feb,3.69,33.7252,-118.0051
2715,feb,3.22,36.8656,-119.7592
2716,feb,3.71,34.0807,-117.2736
2717,feb,2.99,37.9594,-120.8233
2718,feb,3.25,36.2015,-119.3499
2719,feb,2.76,38.5097,-123.0008
2720,feb,3.0,37.2567,-121.9231
2721,feb,2.9,38.9716,-122.0272
2722,feb,3.73,33.6804,-117.8259
2723,feb,2.78,37.8957,-122.1179
2724,feb,3.8,33.0879,-117.1156
2725,feb,2.8,38.6141,-122.8763
2726,feb,2.8,39.2994,-120.9514
2727,feb,2.9,37.9726,-122.3387
2728,feb,3.46,35.3132,-120.8347
2729,feb,2.96,38.0718,-122.1552
2730,feb,2.81,39.1326,-121.0981
2731,feb,2.9,38.344,-121.9533
2732,feb,3.31,36.5182,-121.4256
2733,feb,3.22,36.7541,-121.6647
2734,feb,2.88,38.6077,-120.5937
2735,feb,3.61,34.0652,-117.7793
2736,feb,3.37,35.4875,-119.009
2737,feb,3.33,37.2822,-118.3872
2738,feb,3.01,37.8827,-121.2798
2739,feb,3.76,33.2893,-117.2001
2740,feb,3.71,34.0508,-117.2533
2741,feb,4.0,34.4,-117.34
2742,feb,3.25,36.3271,-119.6451
2743,feb,3.65,34.047,-117.48100000000001
2744,feb,4.32,34.1759,-116.2914
2745,feb,3.01,37.2444,-121.8325
2746,feb,3.55,33.919000000000004,-117.8325
2747,feb,3.69,33.5686,-117.2526
2748,feb,2.79,38.9096,-121.0797
2749,feb,2.84,38.7438,-121.1901
2750,feb,3.85,32.9468,-117.2192
2751,feb,3.6,34.0482,-118.1416
2752,feb,3.18,37.0296,-120.6401
2753,feb,3.9,32.7335,-117.0337
2754,feb,2.7,40.5626,-122.2255
2755,feb,2.93,38.0179,-121.905
2756,feb,2.93,37.87,-122.2981
2757,feb,2.91,38.6972,-121.8094
2758,feb,2.85,37.9878,-122.5996
2759,feb,2.9,37.763000000000005,-122.163
2760,feb,3.69,33.7962,-117.0005
2761,feb,3.26,36.5061,-119.5459
2762,feb,3.62,33.8473,-118.1134
2763,feb,3.65,33.6663,-117.9693
2764,feb,2.98,37.9629,-121.264
2765,feb,3.84,32.7665,-117.2008
2766,feb,3.3,35.3964,-118.9227
2767,feb,2.9,37.6589,-121.8715
2768,feb,2.92,37.7584,-122.4351
2769,feb,4.07,34.5655,-118.0855
2770,feb,2.88,38.6813,-121.7419
2771,feb,3.89,32.805,-117.1687
2772,feb,3.68,33.5319,-117.7025
2773,feb,3.05,37.3496,-121.8544
